id,x,y,age,speed
0,930.6245892956689,1104.4798997582602,0.8546208228219611,1.3714256422295137
1,477.28421852517437,826.9922304802636,0.356412385504317,6.7285623863853745
2,749.2082522078414,1207.7511228579103,0.21463187875121598,3.672064227468909
3,1037.8426123307918,1075.8694411765991,0.9784795957257126,1.0289775363931484
4,1166.9822506684175,757.2349168628072,0.8690694894755017,1.107627634522149
5,1007.9206786791534,1071.1048147244314,0.7273786257046244,3.3511299360569224
6,1270.747454799,1075.738738023071,0.8266207773873187,1.1584622158835267
7,1085.5619319989341,714.1123605579818,0.2585734587772186,8.076528344221636
8,504.2101271942948,1096.7464674702217,0.6297188852457593,1.2523350897384398
9,958.613547218112,1031.246179849696,0.51929111770192,2.410394891732684
