bot_id,x,y,age,speed,behavior
0,1250.1448935566277,611.2284639080713,0.1454873457435947,7.539960604833786,random
1,1246.2254108475927,608.5836839819524,0.6304138285268358,3.858779946422058,random
2,696.2946867195284,985.1393143139504,0.9885217979889761,0.682348907860478,random
3,995.3395444187494,795.5028473635382,0.19356175236528111,3.064128984243224,random
4,718.8129229410071,485.67862518720403,0.10467850056250662,4.569244173009076,random
5,1218.3503127002732,1346.3519300355144,0.11013096366797814,3.97480144507269,random
6,832.7874862146969,722.0686248753316,0.59738047262354,1.1656052520237918,elevation
7,945.4591441800371,889.7128184185757,0.6556276225243128,1.456341447374566,random
8,832.5503949040652,720.1500113347595,0.9065700846079785,0.6498544103189353,random
9,935.6883250737362,892.1351938451111,0.3327179398643937,1.8807586521344304,random
